"YYYYMMDD","hhmmss (UTC+0)","Type","Direction","Duration [s]"
20100916,130748,Voice,Incoming,18
20100916,131131,Voice,Outgoing,99
20100916,131324,Voice,Incoming,214
20100916,131735,Voice,Outgoing,72
20100916,135342,Voice,Incoming,37
20100916,144059,Voice,Outgoing,250
20100916,150148,Voice,Outgoing,87
20100916,150339,Voice,Outgoing,0
20100916,150401,Voice,Outgoing,180
20100916,154652,Voice,Outgoing,248
20100916,155756,SMS,Outgoing,0
20100916,171049,SMS,Outgoing,0
20100916,171158,SMS,Incoming,0
20100916,174814,SMS,Outgoing,0
20100916,181207,SMS,Outgoing,0
20100916,181553,SMS,Incoming,0
20100916,183157,SMS,Incoming,0
20100916,183403,Voice,Missed call,0
20100916,205717,SMS,Outgoing,0
20100916,210148,Voice,Outgoing,0
20100916,210248,SMS,Outgoing,0
20100916,214537,SMS,Outgoing,0
20100917,052557,SMS,Incoming,0
20100917,070524,SMS,Incoming,0
20100917,071204,SMS,Outgoing,0
20100917,071222,Voice,Outgoing,179
20100917,073320,Voice,Missed call,0
20100917,080932,SMS,Incoming,0
20100917,081718,Voice,Outgoing,25
20100917,093715,Voice,Outgoing,15
20100917,112436,Voice,Outgoing,233
20100917,123054,Voice,Incoming,121
20100917,133341,SMS,Incoming,0
20100917,133535,SMS,Outgoing,0
20100917,134053,SMS,Incoming,0
20100917,134316,SMS,Outgoing,0
20100917,134327,SMS,Incoming,0
20100917,150257,Voice,Outgoing,0
20100917,153352,SMS,Incoming,0
20100917,153412,Voice,Outgoing,419
20100917,160904,Voice,Outgoing,0
20100917,163501,SMS,Outgoing,0
20100917,165257,Voice,Outgoing,37
20100917,172111,SMS,Incoming,0
20100917,173208,Voice,Incoming,621
20100917,174309,SMS,Outgoing,0
20100917,182741,SMS,Incoming,0
20100917,185731,Data,Outgoing,11
20100917,185808,SMS,Incoming,0
20100917,191826,SMS,Outgoing,0
20100917,192328,SMS,Incoming,0
20100917,192415,Data,Outgoing,77
20100917,192748,SMS,Outgoing,0
20100917,192805,SMS,Incoming,0
20100917,194947,SMS,Outgoing,0
20100917,195037,SMS,Incoming,0
20100917,201140,Voice,Missed call,0
20100917,201208,Voice,Outgoing,0
20100917,201218,Voice,Outgoing,0
20100917,201228,Voice,Outgoing,0
20100917,201320,Voice,Outgoing,57
20100917,203148,SMS,Outgoing,0
20100917,210356,SMS,Incoming,0
20100918,075447,SMS,Incoming,0
20100918,081116,SMS,Outgoing,0
20100918,092630,Voice,Missed call,0
20100918,093414,Voice,Outgoing,0
20100918,093431,Voice,Outgoing,105
20100918,103710,Data,Outgoing,20
20100918,113310,Data,Outgoing,7
20100918,113419,Data,Outgoing,7
20100918,113535,Data,Outgoing,11
20100918,115902,Data,Outgoing,20
20100918,135731,SMS,Outgoing,0
20100918,141347,SMS,Incoming,0
20100918,142802,SMS,Incoming,0
20100918,144154,SMS,Outgoing,0
20100918,145138,SMS,Incoming,0
20100918,145332,SMS,Incoming,0
20100918,145436,SMS,Outgoing,0
20100918,164547,SMS,Incoming,0
20100918,164957,SMS,Outgoing,0
20100918,173426,SMS,Outgoing,0
20100918,173944,SMS,Incoming,0
20100918,174255,SMS,Outgoing,0
20100918,174602,SMS,Outgoing,0
20100918,174657,SMS,Incoming,0
20100918,174832,SMS,Outgoing,0
20100918,175911,SMS,Outgoing,0
20100918,180524,SMS,Outgoing,0
20100918,180529,Data,Outgoing,10
20100918,180610,Data,Outgoing,49
20100918,181909,SMS,Incoming,0
20100918,192722,Voice,Outgoing,364
20100918,194853,SMS,Incoming,0
20100918,203235,SMS,Outgoing,0
20100918,203255,SMS,Incoming,0
20100918,203547,SMS,Outgoing,0
20100918,203628,SMS,Incoming,0
20100918,203738,SMS,Outgoing,0
20100918,203821,SMS,Incoming,0
20100918,204057,SMS,Outgoing,0
20100918,204132,SMS,Incoming,0
20100918,204457,SMS,Outgoing,0
20100918,204540,SMS,Incoming,0
20100918,204614,SMS,Incoming,0
20100918,204641,SMS,Outgoing,0
20100918,204755,SMS,Outgoing,0
20100918,205443,SMS,Incoming,0
20100919,092924,SMS,Outgoing,0
20100919,101340,SMS,Incoming,0
20100919,101722,SMS,Outgoing,0
20100919,102117,SMS,Incoming,0
20100919,102825,SMS,Outgoing,0
20100919,122856,Voice,Outgoing,0
20100919,123107,SMS,Incoming,0
20100919,123504,SMS,Outgoing,0
20100919,124002,SMS,Incoming,0
20100919,124022,Voice,Outgoing,0
20100919,124127,SMS,Outgoing,0
20100919,125809,SMS,Outgoing,0
20100919,130636,SMS,Incoming,0
20100919,141545,Voice,Incoming,7
20100919,171159,SMS,Incoming,0
