"YYYYMMDD","hhmmss (UTC+0)","MCC","MNC","LAC","CID","Latitude","Longitude","Timezone"
20100916,123351,230,3,1,1,50.102976,14.399171,2
20100916,123616,230,3,1,2,50.105526,14.393218,2
20100916,123657,230,3,1,1,50.102976,14.399171,2
20100916,123814,230,3,1,2,50.105526,14.393218,2
20100916,123834,230,3,1,1,50.102976,14.399171,2
20100916,123910,230,3,1,2,50.105526,14.393218,2
20100916,124101,230,3,1,1,50.102976,14.399171,2
20100916,124244,230,3,1,2,50.105526,14.393218,2
20100916,125321,230,3,1,1,50.102976,14.399171,2
20100916,125812,230,3,1,2,50.105526,14.393218,2
20100916,125937,230,3,1,1,50.102976,14.399171,2
20100916,125951,230,3,1,2,50.105526,14.393218,2
20100916,130021,230,3,1,1,50.102976,14.399171,2
20100916,130219,230,3,1,2,50.105526,14.393218,2
20100916,130509,230,3,1,1,50.102976,14.399171,2
20100916,130819,230,3,1,2,50.105526,14.393218,2
20100916,131852,230,3,1,1,50.102976,14.399171,2
20100916,132140,230,3,1,2,50.105526,14.393218,2
20100916,132948,230,3,1,1,50.102976,14.399171,2
20100916,133012,230,3,1,2,50.105526,14.393218,2
20100916,134237,230,3,1,1,50.102976,14.399171,2
20100916,134250,230,3,1,2,50.105526,14.393218,2
20100916,134257,230,3,1,1,50.102976,14.399171,2
20100916,134543,230,3,1,2,50.105526,14.393218,2
20100916,134609,230,3,1,1,50.102976,14.399171,2
20100916,134628,230,3,1,2,50.105526,14.393218,2
20100916,134727,230,3,1,1,50.102976,14.399171,2
20100916,134815,230,3,1,2,50.105526,14.393218,2
20100916,134851,230,3,1,1,50.102976,14.399171,2
20100916,135011,0,0,0,0,0.000000,0.000000,2
20100916,135012,230,3,1,1,50.102976,14.399171,2
20100916,135423,230,3,1,2,50.105526,14.393218,2
20100916,135506,230,3,1,1,50.102976,14.399171,2
20100916,135537,230,3,1,2,50.105526,14.393218,2
20100916,143605,230,3,1,1,50.102976,14.399171,2
20100916,143707,230,3,1,2,50.105526,14.393218,2
20100916,143749,230,3,1,1,50.102976,14.399171,2
20100916,143808,230,3,1,2,50.105526,14.393218,2
20100916,143855,230,3,1,1,50.102976,14.399171,2
20100916,144514,230,3,1,2,50.105526,14.393218,2
20100916,144520,230,3,1,1,50.102976,14.399171,2
20100916,145203,230,3,1,2,50.105526,14.393218,2
20100916,145219,230,3,1,1,50.102976,14.399171,2
20100916,145238,230,3,1,2,50.105526,14.393218,2
20100916,150133,230,3,1,1,50.102976,14.399171,2
20100916,150705,230,3,1,2,50.105526,14.393218,2
20100916,151244,230,3,1,1,50.102976,14.399171,2
20100916,151343,230,3,1,2,50.105526,14.393218,2
20100916,151603,230,3,1,1,50.102976,14.399171,2
20100916,151640,230,3,1,2,50.105526,14.393218,2
20100916,151712,230,3,1,1,50.102976,14.399171,2
20100916,151734,230,3,1,2,50.105526,14.393218,2
20100916,152014,230,3,1,1,50.102976,14.399171,2
20100916,152052,230,3,1,2,50.105526,14.393218,2
20100916,154331,230,3,1,1,50.102976,14.399171,2
20100916,154338,230,3,1,2,50.105526,14.393218,2
20100916,154456,230,3,1,1,50.102976,14.399171,2
20100916,155104,230,3,1,2,50.105526,14.393218,2
20100916,155128,230,3,1,1,50.102976,14.399171,2
20100916,155138,230,3,1,2,50.105526,14.393218,2
20100916,155257,230,3,1,1,50.102976,14.399171,2
20100916,155328,230,3,1,2,50.105526,14.393218,2
20100916,155959,230,3,1,4,50.103628,14.386725,2
20100916,160007,230,3,1,1,50.102976,14.399171,2
20100916,160023,230,3,1,4,50.103628,14.386725,2
20100916,160035,230,3,1,2,50.105526,14.393218,2
20100916,160309,230,3,1,5,50.097338,14.392858,2
20100916,174337,230,3,1,6,50.096388,14.385038,2
20100916,174501,230,3,1,2,50.105526,14.393218,2
20100916,174702,230,3,3,7,50.074297,14.428297,2
20100916,175243,0,0,0,0,0.000000,0.000000,2
20100916,175328,230,3,3,8,50.074297,14.428297,2
20100916,175425,0,0,0,0,0.000000,0.000000,2
20100916,175501,230,3,3,7,50.074297,14.428297,2
20100916,175628,0,0,0,0,0.000000,0.000000,2
20100916,175653,230,3,3,8,50.074297,14.428297,2
20100916,175814,0,0,0,0,0.000000,0.000000,2
20100916,175834,230,3,3,9,50.074297,14.428297,2
20100916,175955,230,3,3,10,50.074297,14.428297,2
20100916,180146,0,0,0,0,0.000000,0.000000,2
20100916,180211,230,3,3,11,50.074297,14.428297,2
20100916,180310,0,0,0,0,0.000000,0.000000,2
20100916,180347,230,3,3,12,50.074297,14.428297,2
20100916,180444,0,0,0,0,0.000000,0.000000,2
20100916,180546,230,3,3,13,50.074297,14.428297,2
20100916,180848,230,3,4,14,50.066883,14.405435,2
20100916,180906,230,3,4,15,50.070707,14.406215,2
20100916,180924,230,3,5,16,50.069000,14.407000,2
20100916,181027,230,3,5,17,50.069000,14.403000,2
20100916,181140,230,3,5,18,50.069000,14.403000,2
20100916,181418,0,0,0,0,0.000000,0.000000,2
20100916,181505,230,3,5,17,50.069000,14.403000,2
20100916,181617,230,3,5,18,50.069000,14.403000,2
20100916,181651,230,3,5,17,50.069000,14.403000,2
20100916,181751,230,3,5,18,50.069000,14.403000,2
20100916,181758,230,3,5,17,50.069000,14.403000,2
20100916,181832,230,3,5,19,50.069000,14.403000,2
20100916,181845,230,3,5,17,50.069000,14.403000,2
20100916,181857,230,3,5,20,50.064000,14.410000,2
20100916,181920,230,3,5,21,50.063000,14.405000,2
20100916,182025,230,3,5,20,50.064000,14.410000,2
20100916,182044,230,3,5,22,50.062000,14.410000,2
20100916,182230,230,3,6,23,50.054278,14.400995,2
20100916,203721,230,3,5,22,50.062000,14.410000,2
20100916,203756,230,3,5,20,50.064000,14.410000,2
20100916,203828,230,3,5,22,50.062000,14.410000,2
20100916,204137,230,3,5,20,50.064000,14.410000,2
20100916,204217,230,3,5,21,50.063000,14.405000,2
20100916,204745,230,3,5,20,50.064000,14.410000,2
20100916,204835,230,3,5,21,50.063000,14.405000,2
20100916,204848,230,3,5,24,50.062000,14.410000,2
20100916,205056,230,3,5,22,50.062000,14.410000,2
20100916,205118,230,3,5,24,50.062000,14.410000,2
20100916,205138,230,3,3,25,50.074297,14.428297,2
20100916,205547,0,0,0,0,0.000000,0.000000,2
20100916,205632,230,3,3,13,50.074297,14.428297,2
20100916,205746,0,0,0,0,0.000000,0.000000,2
20100916,205835,230,3,3,12,50.074297,14.428297,2
20100916,205934,0,0,0,0,0.000000,0.000000,2
20100916,210017,230,3,3,11,50.074297,14.428297,2
20100916,210056,0,0,0,0,0.000000,0.000000,2
20100916,210106,230,3,3,10,50.074297,14.428297,2
20100916,210306,230,3,3,9,50.074297,14.428297,2
20100916,210706,0,0,0,0,0.000000,0.000000,2
20100916,210727,230,3,3,26,50.074297,14.428297,2
20100916,210835,0,0,0,0,0.000000,0.000000,2
20100916,210905,230,3,3,27,50.074297,14.428297,2
20100916,211002,0,0,0,0,0.000000,0.000000,2
20100916,211038,230,3,3,28,50.074297,14.428297,2
20100916,211127,0,0,0,0,0.000000,0.000000,2
20100916,211200,230,3,3,27,50.074297,14.428297,2
20100916,211314,0,0,0,0,0.000000,0.000000,2
20100916,211347,230,3,3,28,50.074297,14.428297,2
20100916,211452,0,0,0,0,0.000000,0.000000,2
20100916,211609,230,3,3,27,50.074297,14.428297,2
20100916,211700,0,0,0,0,0.000000,0.000000,2
20100916,211822,230,3,3,28,50.074297,14.428297,2
20100916,212007,230,3,7,29,50.065910,14.507394,2
20100916,212023,230,3,6,30,50.066022,14.503034,2
20100916,212128,230,3,1,31,50.067988,14.506768,2
20100916,212140,230,3,6,32,50.068199,14.514701,2
20100916,212205,230,3,1,31,50.067988,14.506768,2
20100916,212355,230,3,6,33,50.069076,14.509180,2
20100916,212449,230,3,6,30,50.066022,14.503034,2
20100916,212507,230,3,7,29,50.065910,14.507394,2
20100916,212524,230,3,1,31,50.067988,14.506768,2
20100916,212556,230,3,6,34,50.072612,14.511606,2
20100916,212716,230,3,7,35,50.063554,14.529775,2
20100916,212749,230,3,6,33,50.069076,14.509180,2
20100916,212806,230,3,7,36,50.060359,14.510679,2
20100916,212815,230,3,7,37,50.062913,14.541140,2
20100916,212834,230,3,6,38,50.062191,14.542474,2
20100916,212843,230,3,6,39,50.053476,14.548071,2
20100916,212846,230,3,6,40,50.052128,14.534634,2
20100916,212908,230,3,6,41,50.048996,14.538392,2
20100916,212935,230,3,6,40,50.052128,14.534634,2
20100916,213031,230,3,6,42,50.048802,14.548801,2
20100916,213037,230,3,6,39,50.053476,14.548071,2
20100916,213051,230,3,6,43,50.047225,14.536522,2
20100916,213116,230,3,6,44,50.043899,14.550689,2
20100916,213148,230,3,6,45,50.044807,14.558335,2
20100916,213238,230,3,6,46,50.048704,14.553362,2
20100916,213324,230,3,6,47,50.041035,14.565252,2
20100916,213327,230,3,6,48,50.044606,14.568368,2
20100916,213359,230,3,6,49,50.040997,14.552996,2
20100916,213826,230,3,6,48,50.044606,14.568368,2
20100917,060636,230,3,6,49,50.040997,14.552996,2
20100917,060914,230,3,6,48,50.044606,14.568368,2
20100917,060932,230,3,6,47,50.041035,14.565252,2
20100917,060936,230,3,6,46,50.048704,14.553362,2
20100917,061118,230,3,6,50,50.050198,14.566495,2
20100917,061357,230,3,6,51,50.050929,14.576607,2
20100917,061404,230,3,7,52,50.049823,14.576304,2
20100917,061413,230,3,7,53,50.054311,14.561300,2
20100917,061428,230,3,6,54,50.053188,14.561300,2
20100917,061615,230,3,6,55,50.061610,14.553762,2
20100917,061930,230,3,6,56,50.058379,14.546183,2
20100917,062053,230,3,6,57,50.058826,14.534309,2
20100917,062107,230,3,6,38,50.062191,14.542474,2
20100917,062232,230,3,6,58,50.064825,14.527234,2
20100917,062300,230,3,6,38,50.062191,14.542474,2
20100917,062326,230,3,6,58,50.064825,14.527234,2
20100917,062358,230,3,6,59,50.062696,14.517201,2
20100917,062407,230,3,6,34,50.072612,14.511606,2
20100917,062428,230,3,6,59,50.062696,14.517201,2
20100917,062431,230,3,6,33,50.069076,14.509180,2
20100917,062443,230,3,6,59,50.062696,14.517201,2
20100917,062521,230,3,6,33,50.069076,14.509180,2
20100917,062527,230,3,6,34,50.072612,14.511606,2
20100917,062709,230,3,1,31,50.067988,14.506768,2
20100917,062813,230,3,6,32,50.068199,14.514701,2
20100917,062817,230,3,6,60,50.072500,14.500402,2
20100917,062829,230,3,7,61,50.070390,14.510297,2
20100917,062838,230,3,7,62,50.066607,14.508177,2
20100917,062852,230,3,6,30,50.066022,14.503034,2
20100917,062853,230,3,6,33,50.069076,14.509180,2
20100917,062941,230,3,1,31,50.067988,14.506768,2
20100917,063117,230,3,6,60,50.072500,14.500402,2
20100917,063127,230,3,1,31,50.067988,14.506768,2
20100917,063141,230,3,6,32,50.068199,14.514701,2
20100917,063159,230,3,6,34,50.072612,14.511606,2
20100917,063205,230,3,6,30,50.066022,14.503034,2
20100917,063355,230,3,3,28,50.074297,14.428297,2
20100917,063609,0,0,0,0,0.000000,0.000000,2
20100917,063807,230,3,3,27,50.074297,14.428297,2
20100917,063844,0,0,0,0,0.000000,0.000000,2
20100917,063949,230,3,3,28,50.074297,14.428297,2
20100917,064041,0,0,0,0,0.000000,0.000000,2
20100917,064113,230,3,3,27,50.074297,14.428297,2
20100917,064220,0,0,0,0,0.000000,0.000000,2
20100917,064257,230,3,3,28,50.074297,14.428297,2
20100917,064343,0,0,0,0,0.000000,0.000000,2
20100917,064422,230,3,3,27,50.074297,14.428297,2
20100917,064517,0,0,0,0,0.000000,0.000000,2
20100917,064552,230,3,3,26,50.074297,14.428297,2
20100917,064710,0,0,0,0,0.000000,0.000000,2
20100917,064732,230,3,3,9,50.074297,14.428297,2
20100917,065125,230,3,4,63,50.082927,14.420874,2
20100917,065141,230,3,4,64,50.085427,14.425494,2
20100917,065201,230,3,5,65,50.083000,14.424000,2
20100917,065202,230,3,5,66,50.083000,14.422000,2
20100917,065301,230,3,5,67,50.083000,14.424000,2
20100917,065313,230,3,5,66,50.083000,14.422000,2
20100917,065317,230,3,5,68,50.082000,14.422000,2
20100917,065344,230,3,5,66,50.083000,14.422000,2
20100917,065423,230,3,5,69,50.079000,14.422000,2
20100917,065440,230,3,5,66,50.083000,14.422000,2
20100917,065646,230,3,5,70,50.082000,14.422000,2
20100917,065707,230,3,5,66,50.083000,14.422000,2
20100917,065722,230,3,5,69,50.079000,14.422000,2
20100917,065800,230,3,5,70,50.082000,14.422000,2
20100917,065846,230,3,5,66,50.083000,14.422000,2
20100917,070209,230,3,5,71,50.082000,14.422000,2
20100917,070244,230,3,4,72,50.081510,14.422788,2
20100917,070252,230,3,4,73,50.081538,14.424069,2
20100917,070309,230,3,5,66,50.083000,14.422000,2
20100917,070443,230,3,5,70,50.082000,14.422000,2
20100917,070452,230,3,5,66,50.083000,14.422000,2
20100917,070654,230,3,5,69,50.079000,14.422000,2
20100917,070701,230,3,5,66,50.083000,14.422000,2
20100917,070915,230,3,5,69,50.079000,14.422000,2
20100917,070923,230,3,5,66,50.083000,14.422000,2
20100917,071147,230,3,5,67,50.083000,14.424000,2
20100917,071531,230,3,3,9,50.074297,14.428297,2
20100917,071758,0,0,0,0,0.000000,0.000000,2
20100917,071759,230,3,3,8,50.074297,14.428297,2
20100917,071918,0,0,0,0,0.000000,0.000000,2
20100917,071951,230,3,3,7,50.074297,14.428297,2
20100917,072051,0,0,0,0,0.000000,0.000000,2
20100917,072125,230,3,3,8,50.074297,14.428297,2
20100917,072228,0,0,0,0,0.000000,0.000000,2
20100917,072303,230,3,3,7,50.074297,14.428297,2
20100917,072457,230,3,1,2,50.105526,14.393218,2
20100917,072558,230,3,1,5,50.097338,14.392858,2
20100917,081830,0,0,0,0,0.000000,0.000000,2
20100917,081831,230,3,1,2,50.105526,14.393218,2
20100917,081852,0,0,0,0,0.000000,0.000000,2
20100917,081853,230,3,1,2,50.105526,14.393218,2
20100917,082154,230,3,1,5,50.097338,14.392858,2
20100917,082207,230,3,1,2,50.105526,14.393218,2
20100917,082232,230,3,1,5,50.097338,14.392858,2
20100917,082245,230,3,1,2,50.105526,14.393218,2
20100917,082254,230,3,1,1,50.102976,14.399171,2
20100917,082319,230,3,1,5,50.097338,14.392858,2
20100917,082428,230,3,1,2,50.105526,14.393218,2
20100917,082559,230,3,1,1,50.102976,14.399171,2
20100917,082740,230,3,1,2,50.105526,14.393218,2
20100917,082804,230,3,1,1,50.102976,14.399171,2
20100917,083118,230,3,1,74,50.101580,14.391327,2
20100917,083131,230,3,1,1,50.102976,14.399171,2
20100917,083221,230,3,1,2,50.105526,14.393218,2
20100917,083311,230,3,1,74,50.101580,14.391327,2
20100917,083330,230,3,1,1,50.102976,14.399171,2
20100917,083856,230,3,1,2,50.105526,14.393218,2
20100917,083917,230,3,1,1,50.102976,14.399171,2
20100917,083926,230,3,1,74,50.101580,14.391327,2
20100917,084016,230,3,1,1,50.102976,14.399171,2
20100917,084057,230,3,1,2,50.105526,14.393218,2
20100917,084106,230,3,1,1,50.102976,14.399171,2
20100917,084118,230,3,1,2,50.105526,14.393218,2
20100917,084208,230,3,1,1,50.102976,14.399171,2
20100917,084401,230,3,1,2,50.105526,14.393218,2
20100917,084417,230,3,1,4,50.103628,14.386725,2
20100917,084423,230,3,1,2,50.105526,14.393218,2
20100917,084756,230,3,1,1,50.102976,14.399171,2
20100917,093429,230,3,1,2,50.105526,14.393218,2
20100917,093534,230,3,1,1,50.102976,14.399171,2
20100917,094000,230,3,1,2,50.105526,14.393218,2
20100917,094017,230,3,1,1,50.102976,14.399171,2
20100917,094105,230,3,1,2,50.105526,14.393218,2
20100917,094136,230,3,1,1,50.102976,14.399171,2
20100917,094322,230,3,1,2,50.105526,14.393218,2
20100917,094503,230,3,1,1,50.102976,14.399171,2
20100917,094515,230,3,1,2,50.105526,14.393218,2
20100917,094521,230,3,1,1,50.102976,14.399171,2
20100917,095146,230,3,1,2,50.105526,14.393218,2
20100917,095245,230,3,1,1,50.102976,14.399171,2
20100917,095254,230,3,1,2,50.105526,14.393218,2
20100917,095447,230,3,1,1,50.102976,14.399171,2
20100917,095614,230,3,1,2,50.105526,14.393218,2
20100917,095701,230,3,1,1,50.102976,14.399171,2
20100917,095723,230,3,1,2,50.105526,14.393218,2
20100917,095801,230,3,1,1,50.102976,14.399171,2
20100917,102301,230,3,1,2,50.105526,14.393218,2
20100917,102332,230,3,1,1,50.102976,14.399171,2
20100917,103152,230,3,8,75,50.102209,14.392311,2
20100917,103210,230,3,1,1,50.102976,14.399171,2
20100917,103245,230,3,1,2,50.105526,14.393218,2
20100917,103310,230,3,1,1,50.102976,14.399171,2
20100917,103341,230,3,1,2,50.105526,14.393218,2
20100917,103415,230,3,1,1,50.102976,14.399171,2
20100917,103453,230,3,1,2,50.105526,14.393218,2
20100917,103935,230,3,1,4,50.103628,14.386725,2
20100917,103943,230,3,1,2,50.105526,14.393218,2
20100917,104325,230,3,1,4,50.103628,14.386725,2
20100917,111629,230,3,1,2,50.105526,14.393218,2
20100917,112042,230,3,1,4,50.103628,14.386725,2
20100917,112051,230,3,1,2,50.105526,14.393218,2
20100917,112356,230,3,1,1,50.102976,14.399171,2
20100917,113215,230,3,1,2,50.105526,14.393218,2
20100917,113247,230,3,1,1,50.102976,14.399171,2
20100917,113401,0,0,0,0,0.000000,0.000000,2
20100917,113402,230,3,1,2,50.105526,14.393218,2
20100917,113508,0,0,0,0,0.000000,0.000000,2
20100917,113509,230,3,1,2,50.105526,14.393218,2
20100917,113556,230,3,1,1,50.102976,14.399171,2
20100917,113804,230,3,1,2,50.105526,14.393218,2
20100917,113921,230,3,1,1,50.102976,14.399171,2
20100917,114016,230,3,1,2,50.105526,14.393218,2
20100917,114106,230,3,1,1,50.102976,14.399171,2
20100917,115258,230,3,1,2,50.105526,14.393218,2
20100917,115316,230,3,1,1,50.102976,14.399171,2
20100917,115320,230,3,1,2,50.105526,14.393218,2
20100917,121038,230,3,1,1,50.102976,14.399171,2
20100917,121049,230,3,1,2,50.105526,14.393218,2
20100917,122515,230,3,1,1,50.102976,14.399171,2
20100917,122526,230,3,1,2,50.105526,14.393218,2
20100917,122931,230,3,1,1,50.102976,14.399171,2
20100917,123555,230,3,1,2,50.105526,14.393218,2
20100917,123608,230,3,1,1,50.102976,14.399171,2
20100917,123615,230,3,1,2,50.105526,14.393218,2
20100917,123743,230,3,1,1,50.102976,14.399171,2
20100917,124102,230,3,1,2,50.105526,14.393218,2
20100917,125418,230,3,1,1,50.102976,14.399171,2
20100917,125540,230,3,1,2,50.105526,14.393218,2
20100917,125629,230,3,1,1,50.102976,14.399171,2
20100917,125724,230,3,1,2,50.105526,14.393218,2
20100917,125948,230,3,1,1,50.102976,14.399171,2
20100917,130032,230,3,1,2,50.105526,14.393218,2
20100917,130047,230,3,1,1,50.102976,14.399171,2
20100917,130532,230,3,1,2,50.105526,14.393218,2
20100917,130556,230,3,1,1,50.102976,14.399171,2
20100917,130621,230,3,1,2,50.105526,14.393218,2
20100917,130751,230,3,1,1,50.102976,14.399171,2
20100917,130850,230,3,1,2,50.105526,14.393218,2
20100917,130910,230,3,1,1,50.102976,14.399171,2
20100917,131023,230,3,1,2,50.105526,14.393218,2
20100917,131138,230,3,1,1,50.102976,14.399171,2
20100917,131244,230,3,1,2,50.105526,14.393218,2
20100917,131310,230,3,1,1,50.102976,14.399171,2
20100917,132220,230,3,1,2,50.105526,14.393218,2
20100917,132403,230,3,1,1,50.102976,14.399171,2
20100917,132757,230,3,1,2,50.105526,14.393218,2
20100917,132813,230,3,1,1,50.102976,14.399171,2
20100917,133003,230,3,1,2,50.105526,14.393218,2
20100917,133013,230,3,1,1,50.102976,14.399171,2
20100917,134035,230,3,1,2,50.105526,14.393218,2
20100917,134243,230,3,1,1,50.102976,14.399171,2
20100917,134622,230,3,1,2,50.105526,14.393218,2
20100917,134739,230,3,1,1,50.102976,14.399171,2
20100917,134825,230,3,1,2,50.105526,14.393218,2
20100917,134839,230,3,1,1,50.102976,14.399171,2
20100917,135129,230,3,1,2,50.105526,14.393218,2
20100917,135146,230,3,1,1,50.102976,14.399171,2
20100917,135239,230,3,1,2,50.105526,14.393218,2
20100917,135415,230,3,1,1,50.102976,14.399171,2
20100917,135435,230,3,1,2,50.105526,14.393218,2
20100917,135501,230,3,1,1,50.102976,14.399171,2
20100917,135543,230,3,1,2,50.105526,14.393218,2
20100917,135602,230,3,1,1,50.102976,14.399171,2
20100917,135819,230,3,1,2,50.105526,14.393218,2
20100917,135847,230,3,1,1,50.102976,14.399171,2
20100917,135931,230,3,1,2,50.105526,14.393218,2
20100917,140020,230,3,1,1,50.102976,14.399171,2
20100917,140027,230,3,1,2,50.105526,14.393218,2
20100917,140219,230,3,1,1,50.102976,14.399171,2
20100917,140309,230,3,1,2,50.105526,14.393218,2
20100917,142612,230,3,1,1,50.102976,14.399171,2
20100917,142626,230,3,1,2,50.105526,14.393218,2
20100917,143713,230,3,1,1,50.102976,14.399171,2
20100917,143745,230,3,1,2,50.105526,14.393218,2
20100917,144909,230,3,1,1,50.102976,14.399171,2
20100917,144931,230,3,1,2,50.105526,14.393218,2
20100917,145243,230,3,1,1,50.102976,14.399171,2
20100917,145316,230,3,1,2,50.105526,14.393218,2
20100917,145323,230,3,1,1,50.102976,14.399171,2
20100917,145431,230,3,1,2,50.105526,14.393218,2
20100917,145532,230,3,1,1,50.102976,14.399171,2
20100917,145559,230,3,1,2,50.105526,14.393218,2
20100917,145619,230,3,1,1,50.102976,14.399171,2
20100917,145747,230,3,1,2,50.105526,14.393218,2
20100917,150757,230,3,1,1,50.102976,14.399171,2
20100917,150823,230,3,1,2,50.105526,14.393218,2
20100917,152143,230,3,1,1,50.102976,14.399171,2
20100917,152239,230,3,1,2,50.105526,14.393218,2
20100917,152939,230,3,1,1,50.102976,14.399171,2
20100917,152958,230,3,1,2,50.105526,14.393218,2
20100917,154121,230,3,1,1,50.102976,14.399171,2
20100917,154208,230,3,1,2,50.105526,14.393218,2
20100917,154237,230,3,1,1,50.102976,14.399171,2
20100917,154338,230,3,1,2,50.105526,14.393218,2
20100917,154450,230,3,1,1,50.102976,14.399171,2
20100917,154942,230,3,1,2,50.105526,14.393218,2
20100917,155911,230,3,1,1,50.102976,14.399171,2
20100917,160053,230,3,1,2,50.105526,14.393218,2
20100917,160453,230,3,1,4,50.103628,14.386725,2
20100917,160458,230,3,1,2,50.105526,14.393218,2
20100917,161023,230,3,1,76,50.099961,14.389078,2
20100917,161044,230,3,1,2,50.105526,14.393218,2
20100917,161057,230,3,3,7,50.074297,14.428297,2
20100917,161151,0,0,0,0,0.000000,0.000000,2
20100917,161225,230,3,3,8,50.074297,14.428297,2
20100917,161327,0,0,0,0,0.000000,0.000000,2
20100917,161409,230,3,3,7,50.074297,14.428297,2
20100917,161509,0,0,0,0,0.000000,0.000000,2
20100917,161611,230,3,3,8,50.074297,14.428297,2
20100917,161654,0,0,0,0,0.000000,0.000000,2
20100917,161706,230,3,3,9,50.074297,14.428297,2
20100917,161829,0,0,0,0,0.000000,0.000000,2
20100917,161901,230,3,3,26,50.074297,14.428297,2
20100917,161951,0,0,0,0,0.000000,0.000000,2
20100917,162023,230,3,3,27,50.074297,14.428297,2
20100917,162123,0,0,0,0,0.000000,0.000000,2
20100917,162155,230,3,3,28,50.074297,14.428297,2
20100917,162255,0,0,0,0,0.000000,0.000000,2
20100917,162331,230,3,3,27,50.074297,14.428297,2
20100917,162441,0,0,0,0,0.000000,0.000000,2
20100917,162514,230,3,3,28,50.074297,14.428297,2
20100917,162629,0,0,0,0,0.000000,0.000000,2
20100917,162731,230,3,3,27,50.074297,14.428297,2
20100917,162852,0,0,0,0,0.000000,0.000000,2
20100917,163022,230,3,3,28,50.074297,14.428297,2
20100917,163233,230,3,7,62,50.066607,14.508177,2
20100917,163249,230,3,6,30,50.066022,14.503034,2
20100917,163351,230,3,6,32,50.068199,14.514701,2
20100917,163418,230,3,1,31,50.067988,14.506768,2
20100917,163600,230,3,6,33,50.069076,14.509180,2
20100917,163702,230,3,6,30,50.066022,14.503034,2
20100917,163715,230,3,1,31,50.067988,14.506768,2
20100917,163722,230,3,6,60,50.072500,14.500402,2
20100917,163740,230,3,6,32,50.068199,14.514701,2
20100917,163803,230,3,1,31,50.067988,14.506768,2
20100917,163833,230,3,6,34,50.072612,14.511606,2
20100917,163947,230,3,7,35,50.063554,14.529775,2
20100917,164014,230,3,6,58,50.064825,14.527234,2
20100917,164015,230,3,6,38,50.062191,14.542474,2
20100917,164045,230,3,6,58,50.064825,14.527234,2
20100917,164050,230,3,6,38,50.062191,14.542474,2
20100917,164101,230,3,6,58,50.064825,14.527234,2
20100917,164110,230,3,6,38,50.062191,14.542474,2
20100917,164116,230,3,6,40,50.052128,14.534634,2
20100917,164138,230,3,6,41,50.048996,14.538392,2
20100917,164224,230,3,6,40,50.052128,14.534634,2
20100917,164326,230,3,6,42,50.048802,14.548801,2
20100917,164334,230,3,6,39,50.053476,14.548071,2
20100917,164346,230,3,6,43,50.047225,14.536522,2
20100917,164432,230,3,6,44,50.043899,14.550689,2
20100917,164459,230,3,6,45,50.044807,14.558335,2
20100917,164542,230,3,6,46,50.048704,14.553362,2
20100917,164622,230,3,6,47,50.041035,14.565252,2
20100917,164628,230,3,6,48,50.044606,14.568368,2
20100917,164647,230,3,6,49,50.040997,14.552996,2
20100917,165410,230,3,6,48,50.044606,14.568368,2
20100917,173022,230,3,6,49,50.040997,14.552996,2
20100917,173108,230,3,6,48,50.044606,14.568368,2
20100917,174427,230,3,6,49,50.040997,14.552996,2
20100917,174452,230,3,6,48,50.044606,14.568368,2
20100917,174610,230,3,6,49,50.040997,14.552996,2
20100917,174857,230,3,6,47,50.041035,14.565252,2
20100917,175000,230,3,6,50,50.050198,14.566495,2
20100917,175118,230,3,6,51,50.050929,14.576607,2
